date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:11:15	698/698	---MCZ	200	added ('OK')	text/html	etag:W/%22690deeb3-2ba%22	http://administrator:administrator@192.168.0.202/ru/home	C:/Users/Leonid/YandexDisk-leon-good/LightStream/PlayerLS/192.168.0.202/ru/home.html	(from )
14:11:15	436/436	---MCZ	200	added ('OK')	text/html	etag:W/%22690deeb3-2ba%22	http://administrator:administrator@192.168.0.202/robots.txt		(from )
14:11:19	797711/797711	---M--	200	added ('OK')	text/css	etag:%22690deeb3-c2c0f%22	http://administrator:administrator@192.168.0.202/assets/index-BmCLVz0Q.css	C:/Users/Leonid/YandexDisk-leon-good/LightStream/PlayerLS/192.168.0.202/assets/index-BmCLVz0Q.css	(from http://administrator:administrator@192.168.0.202/ru/home)
14:12:27	1709644/1709644	---M--	200	added ('OK')	application/javascript	etag:%22690deeb3-1a164c%22	http://administrator:administrator@192.168.0.202/assets/index-CzWm9tw_.js	C:/Users/Leonid/YandexDisk-leon-good/LightStream/PlayerLS/192.168.0.202/assets/index-CzWm9tw_.js	(from http://administrator:administrator@192.168.0.202/ru/home)
14:12:27	7414/7414	---M--	200	added ('OK')	image/svg+xml	etag:%22690deeb3-1cf6%22	http://administrator:administrator@192.168.0.202/assets/lm_background_arrows-CR0n8mHY.svg	C:/Users/Leonid/YandexDisk-leon-good/LightStream/PlayerLS/192.168.0.202/assets/lm_background_arrows-CR0n8mHY.svg	(from http://administrator:administrator@192.168.0.202/assets/index-BmCLVz0Q.css)
14:13:33	400444/400444	---M--	200	added ('OK')	application/octet-stream	etag:%22690deeb3-61c3c%22	http://administrator:administrator@192.168.0.202/assets/materialdesignicons-webfont-CMxqBFRe.woff2?v=7.3.67	C:/Users/Leonid/YandexDisk-leon-good/LightStream/PlayerLS/192.168.0.202/assets/materialdesignicons-webfont-CMxqBFRefedd.woff2	(from http://administrator:administrator@192.168.0.202/assets/index-BmCLVz0Q.css)
14:14:03	583476/583476	---M--	200	added ('OK')	application/font-woff	etag:%22690deeb3-8e734%22	http://administrator:administrator@192.168.0.202/assets/materialdesignicons-webfont-BEZhCrOs.woff?v=7.3.67	C:/Users/Leonid/YandexDisk-leon-good/LightStream/PlayerLS/192.168.0.202/assets/materialdesignicons-webfont-BEZhCrOsfedd.woff	(from http://administrator:administrator@192.168.0.202/assets/index-BmCLVz0Q.css)
14:14:18	90172/90172	---M--	200	added ('OK')	application/octet-stream	etag:%22690deeb3-1603c%22	http://administrator:administrator@192.168.0.202/assets/Magistral-Medium-5aXndRBN.ttf	C:/Users/Leonid/YandexDisk-leon-good/LightStream/PlayerLS/192.168.0.202/assets/Magistral-Medium-5aXndRBN.ttf	(from http://administrator:administrator@192.168.0.202/assets/index-BmCLVz0Q.css)
14:14:33	89728/89728	---M--	200	added ('OK')	application/octet-stream	etag:%22690deeb3-15e80%22	http://administrator:administrator@192.168.0.202/assets/Magistral-Light-Cq4uKeDk.ttf	C:/Users/Leonid/YandexDisk-leon-good/LightStream/PlayerLS/192.168.0.202/assets/Magistral-Light-Cq4uKeDk.ttf	(from http://administrator:administrator@192.168.0.202/assets/index-BmCLVz0Q.css)
14:14:48	91640/91640	---M--	200	added ('OK')	application/octet-stream	etag:%22690deeb3-165f8%22	http://administrator:administrator@192.168.0.202/assets/Magistral-Bold-BWvp6qd6.ttf	C:/Users/Leonid/YandexDisk-leon-good/LightStream/PlayerLS/192.168.0.202/assets/Magistral-Bold-BWvp6qd6.ttf	(from http://administrator:administrator@192.168.0.202/assets/index-BmCLVz0Q.css)
14:15:03	93032/93032	---M--	200	added ('OK')	application/octet-stream	etag:%22690deeb3-16b68%22	http://administrator:administrator@192.168.0.202/assets/Magistral-ExtraBold-D8DVHnmi.ttf	C:/Users/Leonid/YandexDisk-leon-good/LightStream/PlayerLS/192.168.0.202/assets/Magistral-ExtraBold-D8DVHnmi.ttf	(from http://administrator:administrator@192.168.0.202/assets/index-BmCLVz0Q.css)
14:15:19	98948/98948	---M--	200	added ('OK')	application/octet-stream	etag:%22690deeb3-18284%22	http://administrator:administrator@192.168.0.202/assets/Magistral-MediumItalic-D7nALUrY.ttf	C:/Users/Leonid/YandexDisk-leon-good/LightStream/PlayerLS/192.168.0.202/assets/Magistral-MediumItalic-D7nALUrY.ttf	(from http://administrator:administrator@192.168.0.202/assets/index-BmCLVz0Q.css)
